source_id,citation_key,title,authors,year,venue,doi,document_type,evidence_role,system_domain,system_type,system_relevance,main_topic,learning_method,physics_or_domain_model_element,operational_relevance,validation_type,evidence_note
W057,Wu2026Multiagent,Multiagent reinforcement learning in enhancing resilience of microgrids under extreme weather events,"Wu, Yin and Chiu, Wei-Yu and Tsai, Yuan-Po and Liu, Shangyuan and Hua, Weiqi",2026,Expert Systems with Applications,10.1016/j.eswa.2025.129145,Journal article,Primary evaluation,Microgrid,NR,Yes,restoration and resilience,multi-agent deep reinforcement learning,NR,restoration and resilience,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W058,adham2025distributed,Distributed Energy Resources: A Systematic Literature Review,"Adham, Midrar and Keene, Sean and Bass, Robert B",2025,Energy Reports,10.1016/j.egyr.2025.01.026,Review article,Review/contextual synthesis,Microgrid,Power grid,Yes,physics-informed/data-driven power-system method,NR,power-flow equations,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W059,aryal2025active,Active Learning of Microgrid Frequency Dynamics Using Neural Ordinary Differential Equations,"Aryal, Tara and Aslami, Pooja and Bhujel, Niranjan and Rekabdarkolaee, Hossein Moradi and Fu, Kaiqun and Wang, Zongjie and Hansen, Timothy M",2025,IET Energy Systems Integration,10.1049/esi2.70020,Journal article,Primary evaluation,Microgrid,NR,Yes,frequency control,neural ODE/DAE,DAE/ODE dynamics; voltage/frequency limits,frequency control,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W060,bouzid2025challenges,Challenges of operating multiple distributed generators with different primary control strategies in microgrids: Interactions and performance assessment,"Bouzid, Allal El Moubarek and Alonso, Corinne and Beral, Gerard",2025,Mathematics and Computers in Simulation,10.1016/j.matcom.2025.08.029,Journal article,Contextual method/background,Microgrid,Converter/device,Yes,physics-informed/data-driven power-system method,NR,DAE/ODE dynamics; converter/inverter dynamics,physics-informed/data-driven power-system method,NR,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W061,bu2024hybrid,Hybrid data-driven operation method for demand response of community integrated energy systems utilizing virtual and physical energy storage,"Bu, Yuntao and Yu, Hao and Ji, Haoran and Song, Guanyu and Xu, Jing and Li, Juan and Zhao, Jinli and Li, Peng",2024,Applied Energy,10.1016/j.apenergy.2024.123295,Journal article,Primary evaluation,Distribution power system,Distribution network,Yes,physics-informed/data-driven power-system method,NR,DAE/ODE dynamics,Contextual/background,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W062,canaan2025cyber,Cyber-physical security for microgrids through digital twin technologies: A review and research outlook,"Canaan, Bushra and Makhlouf, Yosra and Abdeslam, Djaffar Ould",2025,Energy Conversion and Management: X,10.1016/j.ecmx.2025.101406,Review article,Review/contextual synthesis,Microgrid,NR,Yes,physics-informed/data-driven power-system method,digital twin/deep learning,DAE/ODE dynamics,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W063,cestero2025optimizing,Optimizing energy management of smart grid using reinforcement learning aided by surrogate models built using physics-informed neural networks,"Cestero, Julen and Delle Femine, Carmine and Muro, Kenji S and Quartulli, Marco and Restelli, Marcello",2025,Applied Energy,10.1016/j.apenergy.2025.126750,Journal article,Primary evaluation,Generic physics-informed learning,NR,No,energy management,reinforcement learning,power-flow equations; DAE/ODE dynamics; network topology/graph,energy management,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W064,chen2025curriculum,Curriculum-based deep evolutionary learning for large-scale grid look-ahead transient stability preventive dispatch,"Chen, Yixi and Zhu, Jizhong and Zhang, Le and Liu, Yun",2025,Applied Energy,10.1016/j.apenergy.2025.126789,Journal article,Primary evaluation,Power system,Power grid,Yes,transient stability,reinforcement learning,DAE/ODE dynamics,transient stability,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W065,chen2025modified,Modified hard-constrained PINNs for physically consistent microgrid transient response modeling,"Chen, Likun and Wang, Yifan and Sun, Wei and Shang, Lei and Dong, Xuzhu and Wang, Bo",2025,International Journal of Electrical Power \& Energy Systems,10.1016/j.ijepes.2025.110726,Journal article,Primary evaluation,Microgrid,Distribution network,Yes,modeling and system identification,PINN,DAE/ODE dynamics,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W066,coulombe2025simulation,Simulation of a closed-loop dc-dc converter using a physics-informed neural network-based model,"Coulombe, Marc-Antoine and Berger, Maxime and Lesage-Landry, Antoine",2025,arXiv preprint arXiv:2506.19178,10.1016/j.epsr.2025.112408,Journal article,Primary evaluation,Power system,Power grid,Yes,modeling and system identification,PINN,DAE/ODE dynamics; converter/inverter dynamics,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W067,dahane2024hybrid,Hybrid AC-DC microgrid coordinated control strategies: A systematic review and future prospect,"Dahane, Atul S and Sharma, Rajesh B",2024,Renewable Energy Focus,10.1016/j.ref.2024.100553,Review article,Review/contextual synthesis,Microgrid,Networked microgrid,Yes,physics-informed/data-driven power-system method,NR,DAE/ODE dynamics; converter/inverter dynamics; voltage/frequency limits,physics-informed/data-driven power-system method,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W068,drgovna2022differentiable,Differentiable predictive control: Deep learning alternative to explicit model predictive control for unknown nonlinear systems,"Drgo{\v{n}}a, J{\'a}n and Ki{\v{s}}, Karol and Tuor, Aaron and Vrabie, Draguna and Klau{\v{c}}o, Martin",2022,Journal of Process Control,10.1016/j.jprocont.2022.06.001,Journal article,Excluded non-primary study,NR,NR,No,modeling and system identification,data-driven predictive control,DAE/ODE dynamics,modeling and system identification,NR,Outside target power-system or microgrid operational scope.
W069,ellinas2025physics,Physics-informed machine learning for power system dynamics: A framework incorporating trustworthiness,"Ellinas, Petros and Karampinis, Ioannis and Nadal, Ignasi Ventura and Nellikkath, Rahul and Vorwerk, Johanna and Chatzivasileiadis, Spyros",2025,"Sustainable Energy, Grids and Networks",10.1016/j.segan.2025.101818,Journal article,Contextual method/background,Power system,Power grid,Yes,physics-informed/data-driven power-system method,PINN,DAE/ODE dynamics; converter/inverter dynamics,Contextual/background,NR,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W070,feng2023stability,Stability constrained reinforcement learning for decentralized real-time voltage control,"Feng, Jie and Shi, Yuanyuan and Qu, Guannan and Low, Steven H and Anandkumar, Anima and Wierman, Adam",2023,IEEE Transactions on Control of Network Systems,NR,Journal article,Primary evaluation,Distribution power system,Distribution network,Yes,voltage control,reinforcement learning,DAE/ODE dynamics; Lyapunov/barrier certificate; voltage/frequency limits,voltage control,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W071,ge2024physics,Physics-informed convolutional neural network for microgrid economic dispatch,"Ge, Xiaoyu and Khazaei, Javad",2024,"Sustainable Energy, Grids and Networks",10.1016/j.segan.2024.101525,Journal article,Primary evaluation,Microgrid,NR,Yes,energy management,machine learning,power-flow equations; DAE/ODE dynamics,energy management,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W072,gram2025safe,Safe reinforcement learning-based prescriptive maintenance of distribution grid using Bi-Mamba+ and constrained policy optimization: A Danish grid case study,"Gram, Iason and Mirshekali, Hamid and Shaker, Hamid Reza",2025,Applied Energy,10.1016/j.apenergy.2025.126803,Journal article,Primary evaluation,Distribution power system,Distribution network,Yes,physics-informed/data-driven power-system method,safe reinforcement learning,DAE/ODE dynamics; network topology/graph,Contextual/background,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W073,habibnia2026data,Data-driven solutions for microgrids energy management systems: A state-of-the-art survey on current trends and future directions,"Habibnia, S and Faraji, M and Alizadeh, MH and Zadeh, M Mollayousefi and Caire, R and Gharehpetian, GB and Guerrero, JM",2026,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2025.116592,Review article,Review/contextual synthesis,Microgrid,Power grid,Yes,energy management,NR,DAE/ODE dynamics,energy management,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W074,hadi2025artificial,"Artificial intelligence for microgrids design, control, and maintenance: A comprehensive review and prospects","Hadi, Mojtaba and Elbouchikhi, Elhoussin and Zhou, Zhibin and Saim, Abdelhakim and Shafie Khah, Miadreza and Siano, Pierluigi and Rahbarimagham, Hesam and Mart{\'\i} Colom, Pau",2025,Energy conversion and management. X,10.1016/j.ecmx.2025.101056,Review article,Review/contextual synthesis,Microgrid,NR,Yes,physics-informed/data-driven power-system method,NR,NR,physics-informed/data-driven power-system method,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W075,huang2020neural_lyapunov_interconnected,A Neural Lyapunov Approach to Transient Stability Assessment in Interconnected Microgrids,"Huang, Tong and Gao, Sicun and Long, Xun and Xie, Le",NR,NR,NR,Conference proceeding,Primary evaluation,Microgrid,Networked microgrid,Yes,transient stability,neural Lyapunov/certificate,Lyapunov/barrier certificate; converter/inverter dynamics; voltage/frequency limits,transient stability,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W076,huang2024data,Data-driven distributed predictive control for voltage regulation and current sharing in DC microgrids with communication constraints,"Huang, Yi and Liu, Guo-Ping and Yu, Yi and Hu, Wenshan",2024,IEEE Transactions on Cybernetics,NR,Journal article,Primary evaluation,Microgrid,DC microgrid,Yes,voltage control,data-driven predictive control,DAE/ODE dynamics; voltage/frequency limits,voltage control,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W077,huang2024prediction,Prediction-Free Coordinated Dispatch of Microgrid: A Data-Driven Online Optimization Approach,"Huang, Kaidi and Cheng, Lin and Qi, Ning and Gao, David Wenzhong and Mujeeb, Asad and Guo, Qinglai",2024,arXiv preprint arXiv:2407.03716,NR,Journal article,Primary evaluation,Microgrid,NR,Yes,state estimation/prediction,neural Lyapunov/certificate,DAE/ODE dynamics; Lyapunov/barrier certificate,state estimation/prediction,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W078,juma2024review,A review of control strategies for optimized microgrid operations,"Juma, Shaibu Ali and Ayeng'o, Sarah Paul and Kimambo, Cuthbert ZM",2024,IET Renewable Power Generation,10.1049/rpg2.13056,Review article,Review/contextual synthesis,Microgrid,NR,Yes,physics-informed/data-driven power-system method,NR,NR,physics-informed/data-driven power-system method,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W079,komala2025iot,IoT Integration With CMPA-PINN for Islanding Detection Through Microgrid Hierarchical Control,"Komala, CR and Jeyakumar, S and Deepika, G and Swaroopa, K and Rangaree, Pankaj and Arif, Mohammad and Saikia, Bhargabjyoti and BalaSubramanyam, PNV",2025,International Journal of Communication Systems,NR,Journal article,Primary evaluation,Microgrid,NR,Yes,fault/anomaly detection,multi-agent deep reinforcement learning,DAE/ODE dynamics; voltage/frequency limits,fault/anomaly detection,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W080,kumar2025physics,Physics-Informed Neural Network-Based Control for Grid-Forming Converter's Stability Under Overload Conditions,"Kumar, Abhay and Sharma, Dushyant and Pal, Mayukha",2025,arXiv preprint arXiv:2503.21529,NR,Journal article,Primary evaluation,Distribution power system,Grid-forming converter microgrid,Yes,physics-informed/data-driven power-system method,PINN,DAE/ODE dynamics; converter/inverter dynamics; voltage/frequency limits,physics-informed/data-driven power-system method,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W081,liu2024physics,Physics-informed reinforcement learning for probabilistic wind power forecasting under extreme events,"Liu, Yanli and Wang, Junyi and Liu, Liqi",2024,Applied Energy,10.1016/j.apenergy.2024.124068,Journal article,Contextual method/background,Generic physics-informed learning,NR,No,restoration and resilience,physics-informed reinforcement learning,DAE/ODE dynamics,restoration and resilience,NR,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W082,long2020data,Data-driven hybrid equivalent dynamic modeling of multiple photovoltaic power stations based on ensemble gated recurrent unit,"Long, Huan and Xu, Shaohui and Lu, Xiao and Yang, Zijun and Li, Chen and Jing, Jiangping and Wu, Zhi",2020,Frontiers in Energy Research,10.3389/fenrg.2020.00185,Journal article,Primary evaluation,NR,NR,No,modeling and system identification,NR,DAE/ODE dynamics,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W083,meng2025when_physics,When physics meets machine learning: a survey of physics-informed machine learning,"Meng, Chuizheng and Griesemer, Sam and Cao, Defu and Seo, Sungyong and Liu, Yan",2025,Machine Learning for Computational Science and Engineering,10.1007/s44379-025-00016-0,Review article,Review/contextual synthesis,Generic physics-informed learning,NR,No,physics-informed/data-driven power-system method,machine learning,DAE/ODE dynamics,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W084,mishra2024survey,A survey on different techniques for distribution network reconfiguration,"Mishra, Astamita and Tripathy, Manish and Ray, Papia",2024,Journal of Engineering Research,10.1016/j.jer.2023.09.001,Review article,Review/contextual synthesis,Distribution power system,Distribution network,Yes,restoration and resilience,NR,power-flow equations; network topology/graph; voltage/frequency limits,restoration and resilience,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W085,mohanty2024power,Power system resilience and strategies for a sustainable infrastructure: A review,"Mohanty, Asit and Ramasamy, AK and Verayiah, Renuga and Bastia, Satabdi and Dash, Sarthak Swaroop and Cuce, Erdem and Khan, TM Yunus and Soudagar, Manzoore Elahi M",2024,Alexandria Engineering Journal,10.1016/j.aej.2024.06.092,Review article,Review/contextual synthesis,Power system,Power grid,Yes,restoration and resilience,NR,chance/CVaR risk constraint,restoration and resilience,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W086,moradi2023physics,Physics-informed learning using hamiltonian neural networks with output error noise models,"Moradi, Sarvin and Jaensson, Nick and T{\'o}th, Roland and Schoukens, Maarten",2023,IFAC-PapersOnLine,10.1016/j.ifacol.2023.10.108,Journal article,Primary evaluation,Generic physics-informed learning,NR,No,modeling and system identification,machine learning,DAE/ODE dynamics,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W087,ngo2024physics,Physics-informed graphical neural network for power system state estimation,"Ngo, Quang-Ha and Nguyen, Bang LH and Vu, Tuyen V and Zhang, Jianhua and Ngo, Tuan",2024,Applied Energy,10.1016/j.apenergy.2023.122602,Journal article,Primary evaluation,Distribution power system,Distribution network,Yes,state estimation/prediction,PINN,DAE/ODE dynamics; network topology/graph; chance/CVaR risk constraint,state estimation/prediction,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W088,nkambule2025review,A review of intelligent control strategies for energy management systems in microgrids,"Nkambule, Mpho Sam and Hasan, Ali Nabil and Shongwe, Thokozani",2025,Energy Conversion and Management: X,10.1016/j.ecmx.2025.101323,Review article,Review/contextual synthesis,Microgrid,NR,Yes,energy management,data-driven predictive control,DAE/ODE dynamics,energy management,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W089,oelhaf2025scoping,A scoping review of machine learning applications in power system protection and disturbance management,"Oelhaf, Julian and Kordowich, Georg and Pashaei, Mehran and Bergler, Christian and Maier, Andreas and J{\""a}ger, Johann and Bayer, Siming",2025,International Journal of Electrical Power \& Energy Systems,10.1016/j.ijepes.2025.111257,Review article,Review/contextual synthesis,Power system,Power grid,Yes,physics-informed/data-driven power-system method,machine learning,DAE/ODE dynamics,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W090,pang2024fast,Fast stability enhancement of inverter-based microgrids using NGO-LSTM algorithm,"Pang, Kai and Tang, Zhiyuan",2024,IET Renewable Power Generation,10.1049/rpg2.13137,Journal article,Primary evaluation,Microgrid,Converter/device,Yes,physics-informed/data-driven power-system method,digital twin/deep learning,DAE/ODE dynamics; converter/inverter dynamics,Contextual/background,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W091,parsa2025physics,"Physics-informed machine learning meets renewable energy systems: A review of advances, challenges, guidelines, and future outlooks","Parsa, Seyed Masoud",2025,Applied Energy,10.1016/j.apenergy.2025.126925,Review article,Review/contextual synthesis,Generic physics-informed learning,NR,No,physics-informed/data-driven power-system method,PINN,DAE/ODE dynamics,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W092,patra2025design,"From design to deployment: A holistic perspective on design frameworks, stability analysis, and control innovations of DC microgrid architectures","Patra, Sandipan and Basu, Malabika and Khadem, Shafi",2025,Energy Strategy Reviews,10.1016/j.esr.2025.101933,Journal article,Contextual method/background,Microgrid,DC microgrid,Yes,physics-informed/data-driven power-system method,NR,DAE/ODE dynamics; network topology/graph; voltage/frequency limits,physics-informed/data-driven power-system method,NR,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W093,ping2021deep,Deep Koopman model predictive control for enhancing transient stability in power grids,"Ping, Zuowei and Yin, Zhun and Li, Xiuting and Liu, Yefeng and Yang, Tao",2021,International Journal of Robust and Nonlinear Control,NR,Journal article,Primary evaluation,Power system,Power grid,Yes,transient stability,Koopman learning,DAE/ODE dynamics,transient stability,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W094,r2024machine,Machine learning-based energy management and power forecasting in grid-connected microgrids with multiple distributed energy sources,"R. Singh, Arvind and Kumar, R Seshu and Bajaj, Mohit and Khadse, Chetan B and Zaitsev, Ievgen",2024,Scientific Reports,10.1038/s41598-024-70336-3,Journal article,Primary evaluation,Microgrid,NR,Yes,energy management,machine learning,DAE/ODE dynamics,energy management,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W095,sarangi2025enhancing,Enhancing DC microgrid security: A comprehensive review of protection challenges and solutions,"Sarangi, Rachita R and Ray, Prakash K and Mohanty, Asit and Khadem, Shafi and Patra, Sandipan",2025,International Journal of Electrical Power \& Energy Systems,10.1016/j.ijepes.2025.110687,Review article,Review/contextual synthesis,Microgrid,DC microgrid,Yes,physics-informed/data-driven power-system method,NR,power-flow equations; network topology/graph,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W096,sarin2025renewable,Renewable microgrid optimization using AI: A B-SLR approach and future research directions,"Sarin, Gaurav and Srivastava, Archi and Srivastava, Ishi and Bhattacharjee, Saptarshi and Gujaran, Shreeya and Reddy, Y Yogendra Sai",2025,Energy Reports,10.1016/j.egyr.2025.11.087,Journal article,Contextual method/background,Microgrid,NR,Yes,physics-informed/data-driven power-system method,machine learning,DAE/ODE dynamics,Contextual/background,NR,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W097,selvaraj2024optimal,Optimal power scheduling in real-time distribution systems using crow search algorithm for enhanced microgrid performance,"Selvaraj, Ganesh and Rajangam, Kanimozhi and Vishnuram, Pradeep and Bajaj, Mohit and Zaitsev, Ievgen",2024,Scientific Reports,10.1038/s41598-024-82061-y,Journal article,Excluded non-primary study,Microgrid,Distribution network,Yes,physics-informed/data-driven power-system method,NR,power-flow equations; DAE/ODE dynamics; voltage/frequency limits,Contextual/background,NR,Learning or data-driven method is not central to the available source evidence.
W098,singhal2026physics,Physics informed ANN model for identifying physical and cyber anomalies in centralized load sharing controller in AC microgrids,"Singhal, Arti and Verma, Ashu and Mohanty, Rabindra",2026,Electric Power Systems Research,10.1016/j.epsr.2025.112469,Journal article,Primary evaluation,Microgrid,AC microgrid,Yes,modeling and system identification,machine learning,DAE/ODE dynamics; voltage/frequency limits,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W099,stock2024bayesian,Bayesian physics-informed neural networks for system identification of inverter-dominated power systems,"Stock, Simon and Babazadeh, Davood and Becker, Christian and Chatzivasileiadis, Spyros",2024,Electric power systems research,10.1016/j.epsr.2024.110860,Journal article,Primary evaluation,Distribution power system,Power grid,Yes,modeling and system identification,PINN,converter/inverter dynamics,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W100,sun2025integrated,Integrated data-driven topology reconstruction and risk-aware reconfiguration for resilient power distribution systems under incomplete observability,"Sun, Sipei and Li, Ning and Zhang, Liang and Zhao, Dongpo and Lun, Di and Feng, Liang",2025,Scientific Reports,10.1038/s41598-025-15440-8,Journal article,Primary evaluation,Distribution power system,Distribution network,Yes,restoration and resilience,graph neural network,DAE/ODE dynamics; network topology/graph; chance/CVaR risk constraint,restoration and resilience,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W101,tartaglione2022loss,Loss-based sensitivity regularization: towards deep sparse neural networks,"Tartaglione, Enzo and Bragagnolo, Andrea and Fiandrotti, Attilio and Grangetto, Marco",2022,Neural Networks,10.1016/j.neunet.2021.11.029,Journal article,Excluded non-primary study,NR,NR,No,physics-informed/data-driven power-system method,machine learning,network topology/graph,Contextual/background,NR,Outside target power-system or microgrid operational scope.
W102,valente2025physics,Physics-consistent machine learning with output projection onto physical manifolds,"Valente, Matilde and Dias, Tiago C and Guerra, Vasco and Ventura, Rodrigo",2025,Communications Physics,10.1038/s42005-025-02329-1,Journal article,Contextual method/background,Generic physics-informed learning,NR,No,physics-informed/data-driven power-system method,PINN,DAE/ODE dynamics,Contextual/background,NR,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W103,vizza2025effective,An effective integrated optimal day-ahead and real-time power scheduling approach for hydrogen-based microgrid,"Vizza, Pasquale and Fedorov, Stanislav and Pinnarelli, Anna and Bilotta, Vittorio and Bruni, Maria Elena",2025,"Sustainable Energy, Grids and Networks",10.1016/j.segan.2025.102039,Journal article,Excluded non-primary study,Microgrid,Power grid,Yes,physics-informed/data-driven power-system method,PINN,DAE/ODE dynamics,Contextual/background,NR,Outside inferred primary-evidence scope or lacks extractable evidence.
W104,wang2023secure,Secure energy management of multi-energy microgrid: A physical-informed safe reinforcement learning approach,"Wang, Yi and Qiu, Dawei and Sun, Mingyang and Strbac, Goran and Gao, Zhiwei",2023,Applied Energy,10.1016/j.apenergy.2023.120759,Journal article,Primary evaluation,Microgrid,NR,Yes,energy management,safe reinforcement learning,DAE/ODE dynamics,energy management,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W105,wazirali2023state,"State-of-the-art review on energy and load forecasting in microgrids using artificial neural networks, machine learning, and deep learning techniques","Wazirali, Raniyah and Yaghoubi, Elnaz and Abujazar, Mohammed Shadi S and Ahmad, Rami and Vakili, Amir Hossein",2023,Electric power systems research,10.1016/j.epsr.2023.109792,Review article,Review/contextual synthesis,Microgrid,Power grid,Yes,state estimation/prediction,machine learning,chance/CVaR risk constraint,state estimation/prediction,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W106,wu2024physics,Physics-informed machine learning: A comprehensive review on applications in anomaly detection and condition monitoring,"Wu, Yuandi and Sicard, Brett and Gadsden, Stephen Andrew",2024,Expert Systems with Applications,10.1016/j.eswa.2024.124678,Review article,Review/contextual synthesis,Generic physics-informed learning,NR,No,fault/anomaly detection,machine learning,DAE/ODE dynamics,fault/anomaly detection,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W107,wu2025resilience,Resilience driven EV coordination in multiple microgrids using distributed deep reinforcement learning,"Wu, Yuxin and Cai, Ting and Li, Xiaoli",2025,Scientific Reports,10.1038/s41598-025-12471-z,Journal article,Primary evaluation,Microgrid,NR,Yes,restoration and resilience,multi-agent deep reinforcement learning,DAE/ODE dynamics,restoration and resilience,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W108,xu2023coordination,Coordination of network reconfiguration and mobile energy storage system fleets to facilitate active distribution network restoration under forecast uncertainty,"Xu, Yundai and Zhao, Min and Wu, Han and Xiang, Sheng and Yuan, Yue",2023,Frontiers in Energy Research,10.3389/fenrg.2022.1024282,Journal article,Excluded non-primary study,Distribution power system,Active distribution network,Yes,restoration and resilience,NR,network topology/graph,restoration and resilience,NR,Learning or data-driven method is not central to the available source evidence.
W109,xu2024resilient,Resilient dynamic microgrid formation by deep reinforcement learning integrating physics-informed neural networks,"Xu, Mingze and Lei, Shunbo and Wang, Chong and Liang, Liang and Zhao, Junhua and Peng, Chaoyi",2024,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2024.109470,Journal article,Primary evaluation,Microgrid,Distribution network,Yes,restoration and resilience,reinforcement learning,NR,restoration and resilience,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W110,xun2025single,Single-inductor multiple-output converter for hydrogen electrolyzer arrays in PV-HESS-PEM microgrid using deep neural network based model predictive control,"Xun, Binbin and Tang, Xinqiang and Fu, Qing and Wang, Benfei",2025,Process Safety and Environmental Protection,10.1016/j.psep.2025.107913,Journal article,Primary evaluation,Microgrid,Power grid,Yes,modeling and system identification,data-driven predictive control,DAE/ODE dynamics; converter/inverter dynamics; voltage/frequency limits,modeling and system identification,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W111,zhang2024physics,Physics-Informed Multi-Agent deep reinforcement learning enabled distributed voltage control for active distribution network using PV inverters,"Zhang, Bin and Cao, Di and Hu, Weihao and Ghias, Amer MYM and Chen, Zhe",2024,International Journal of Electrical Power \& Energy Systems,10.1016/j.ijepes.2023.109641,Journal article,Primary evaluation,Distribution power system,Active distribution network,Yes,voltage control,multi-agent deep reinforcement learning,DAE/ODE dynamics; network topology/graph; converter/inverter dynamics; voltage/frequency limits,voltage control,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W112,zhao2025reconfiguration,A reconfiguration method of robust game for distribution-microgrid coordination considering battery aging cost,"Zhao, Ruifeng and Pan, Kaiyan and Gao, Tianliang and LI, Yiquan and Zhao, Youguo and Liu, Shangwei and others",2025,Energy Reports,10.1016/j.egyr.2025.03.004,Journal article,Excluded non-primary study,Microgrid,Power grid,Yes,restoration and resilience,NR,DAE/ODE dynamics,restoration and resilience,NR,Learning or data-driven method is not central to the available source evidence.
W113,zheng2024distributed,Distributed economic control strategy based on reinforcement pinning control for microgrids,"Zheng, Shu and Wu, Zhi and Song, Lijuan and Gu, Wei and Liu, Wei and Zhao, Jingtao and Xu, Zhihua and Hong, Tao",2024,Electric Power Systems Research,10.1016/j.epsr.2024.111006,Journal article,Primary evaluation,Microgrid,Power grid,Yes,physics-informed/data-driven power-system method,reinforcement learning,DAE/ODE dynamics; converter/inverter dynamics; voltage/frequency limits,physics-informed/data-driven power-system method,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W114,zhu2025bi,Bi-level coordinated restoration for the distribution system and multi-microgrids,"Zhu, Hao and Sun, Xiaotian and Xie, Haipeng and Tang, Lingfeng and Bie, Zhaohong",2025,International Journal of Electrical Power \& Energy Systems,10.1016/j.ijepes.2024.110371,Journal article,Excluded non-primary study,Microgrid,Distribution network,Yes,restoration and resilience,NR,DAE/ODE dynamics,restoration and resilience,NR,Learning or data-driven method is not central to the available source evidence.
