claim_id,study_id,citation_key,claim_type,operational_context,transition_or_operating_regime,system_type,networked_or_multi_system_flag,learned_or_data_driven_artifact,task_family,consuming_decision_layer,required_latency_class,method_family,physics_or_domain_integration_mechanism,physical_or_domain_object_enforced,injection_stage,enforcement_strength,constraint_semantics,validation_environment,validation_fidelity_tier,auditability_tier,operational_limits_reported,voltage_limit_reported,frequency_limit_reported,current_limit_reported,synchronization_or_coupling_limit_reported,violation_reporting,violation_magnitude_reported,violation_duration_reported,stability_or_feasibility_metric,robustness_axes,topology_variation_tested,disturbance_shift_tested,measurement_degradation_tested,communication_impairment_tested,resource_outage_or_derating_tested,latency_reported,computation_time,computational_complexity_note,baseline_reported,ablation_reported,protection_or_safety_assumptions,device_limit_model,uncertainty_calibration,scalability_notes,quantitative_result_summary,evidence_class,inclusion_rationale
C037,S063,cestero2025optimizing,operational,smart-grid energy management with surrogate environment,energy-management RL training,smart grid,Yes,RL policy trained with PINN surrogate,energy management,energy management system,dispatch interval,RL with PINN surrogate,surrogate model built using physics-informed neural networks,energy management environment dynamics,hybrid,audited only,physics-informed surrogate for RL,simulation,F0,A3,Yes,NR,NR,NR,NR,NR,NR,NR,"reward, MAE and R2",out-of-distribution expert versus random sampling; PPO parameter sweep,NR,NR,NR,NR,NR,Yes,surrogate about 10x faster; MAE about 1.05e-3 and R2 about 0.91,100 parallel environments and rollout buffer 30 identified in sensitivity sweep,Yes,Yes,simulator/surrogate assumptions,smart-grid resources,OOD analysis reported,NR,surrogate about 10x faster; MAE about 1.05e-3 and R2 about 0.91,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C038,S064,chen2025curriculum,operational,large-scale transient stability preventive dispatch,look-ahead transient stability under extreme events,large-scale power grid,Yes,curriculum-based deep evolutionary learning policy,preventive dispatch,real-time dispatch,real-time dispatch,deep evolutionary learning,transient-stability constraints in reward/dispatch learning,transient stability and dispatch feasibility,runtime enforcement,hybrid,stability-constrained dispatch policy,simulation,F1,A3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,"unsafe cases, reward and relative error versus MPC","2% Gaussian noise, multi-seed repetition, penalty-factor sensitivity",Yes,Yes,Yes,NR,Yes,Yes,0.39 s per step versus 13.2 min MPC; unsafe cases 0/500,Ray-based parallelization shows near-linear speedup in ODT note,Yes,Yes,extreme-event transient stability assumptions,large-scale grid dispatch controls,noise injection tested,IEEE 39-bus noted; large-scale claim with parallelization,0.39 s per step versus 13.2 min MPC; unsafe cases 0/500,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C039,S065,chen2025modified,enabling,microgrid transient response modeling,transient response,microgrid,Yes,modified hard-constrained PINN,transient response modeling,dynamic assessment,offline planning,hard-constrained PINN,hard physical constraints enforce consistent transient response,microgrid transient dynamics,architecture/structure,hard runtime enforcement,hard physical consistency constraint,simulation,F1,A2,No,Yes,Yes,NR,NR,NR,NR,NR,transient-response error,NR,NR,Yes,NR,NR,NR,NR,NR,NR,Yes,NR,microgrid transient physics assumptions,microgrid dynamic model,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C040,S066,coulombe2025simulation,enabling,closed-loop dc-dc converter simulation,converter steady-state and transient simulation,dc-dc converter in microgrid context,Yes,BiLSTM-PINN converter model,converter simulation surrogate,device modeling,offline planning,PINN recurrent model,converter physics constraints added to BiLSTM,converter output trajectories,training loss,soft penalty,physics-constrained converter surrogate,closed-loop converter simulation,F2,A3,No,Yes,No,Yes,NR,NR,NR,NR,RMSE distribution,50 trained models; steady-state and transient runs,NR,Yes,NR,NR,NR,NR,RMSE reductions 54% steady-state and 67% transient versus BiLSTM,Peak RMSE distribution reduced 64% and 80% in ODT note,Yes,Yes,closed-loop converter model assumptions,dc-dc converter,trial-to-trial variation evaluated,device-level,RMSE reductions 54% steady-state and 67% transient versus BiLSTM,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C041,S070,feng2023stability,operational,decentralized real-time voltage control,voltage control with stability constraint,active distribution network,Yes,stability-constrained RL policy,voltage control,real-time voltage control,real-time control,stability-constrained reinforcement learning,stability constraint imposed during RL policy learning,voltage and stability constraints,runtime enforcement,hybrid,stability-constrained control,simulation,F0,A2,Yes,Yes,NR,NR,NR,Yes,NR,NR,voltage-control objective and stability satisfaction,operating scenarios,NR,NR,NR,NR,NR,NR,NR,Title states real-time; exact latency NR,Yes,NR,voltage stability constraints,distributed voltage-control resources,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C042,S071,ge2024physics,operational,microgrid economic dispatch,economic dispatch,microgrid,Yes,physics-informed convolutional neural network,economic dispatch,dispatch optimization,dispatch interval,physics-informed convolutional neural network,microgrid dispatch physics in CNN training,dispatch feasibility/cost,training loss,soft penalty,physics-informed dispatch prediction,simulation,F0,A1,Yes,NR,NR,NR,NR,NR,NR,NR,economic dispatch error/cost,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,economic dispatch constraints,microgrid DERs,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C043,S072,gram2025safe,operational,distribution-grid prescriptive maintenance,maintenance under grid constraints,distribution grid,Yes,Bi-Mamba+ constrained policy optimization policy,prescriptive maintenance,asset/grid operation planning,operational scheduling,safe reinforcement learning,constrained policy optimization with grid-state perception,maintenance and grid safety constraints,uncertainty/risk,hybrid,constrained policy optimization,Danish grid case study,F0,A2,Yes,Yes,NR,Yes,NR,Yes,NR,NR,maintenance objective and constraint satisfaction,case-study scenarios,Yes,NR,NR,NR,Yes,NR,NR,NR,Yes,NR,distribution-grid operating constraints,distribution grid assets,NR,Danish grid case,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C044,S075,huang2020neural_lyapunov_interconnected,transition-focused,interconnected microgrid stability monitoring,grid-connected and three-microgrid interconnection transient stability,interconnected microgrids,Yes,neural Lyapunov security-region estimator,transient stability assessment,real-time security monitoring,online screening,neural Lyapunov,DAE interface dynamics and algebraic power-flow constraints inform Lyapunov learning,security region and tolerated disturbance extent,certificate,certificate-based,Lyapunov security-region certificate,grid-connected and three-microgrid simulation,F1,A2,Yes,Yes,NR,NR,Yes,Yes,NR,NR,security region conservativeness,grid-connected microgrid and three-microgrid interconnection,Yes,Yes,NR,NR,NR,NR,NR,Source states real-time monitoring use; exact runtime NR,Yes,NR,PCC interface and DAE assumptions,microgrid PCC voltage angle/magnitude dynamics,NR,single and three-microgrid cases,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C045,S076,huang2024data,operational,DC microgrid bus-voltage recovery under communication constraints,voltage regulation with communication constraints,islanded DC microgrid,Yes,data-driven distributed predictive controller,voltage regulation,secondary control,real-time control,data-driven predictive control,data-driven time-varying linear model replaces explicit physical model,bus voltage and current sharing,runtime enforcement,hard runtime enforcement,predictive-control constraints under delays/losses,hardware microgrid experimental platform,F3,A3,Yes,Yes,No,Yes,NR,Yes,NR,NR,voltage recovery and current-sharing error,network delays and packet losses,NR,Yes,NR,Yes,NR,Yes,NR,Hardware platform validation reported in ODT abstract; exact runtime NR,Yes,NR,communication delay and packet-loss assumptions,DC converters and bus voltage model,NR,hardware microgrid platform,ODT abstract reports bus-voltage restoration using a data-driven distributed predictive controller; exact voltage error NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C046,S076,huang2024data,operational,DC microgrid current sharing under communication constraints,voltage regulation with communication constraints,islanded DC microgrid,Yes,data-driven distributed predictive controller,current sharing,secondary control,real-time control,data-driven predictive control,data-driven time-varying linear model replaces explicit physical model,bus voltage and current sharing,runtime enforcement,hard runtime enforcement,predictive-control constraints under delays/losses,hardware microgrid experimental platform,F3,A3,Yes,Yes,No,Yes,NR,Yes,NR,NR,voltage recovery and current-sharing error,network delays and packet losses,NR,Yes,NR,Yes,NR,Yes,NR,Hardware platform validation reported in ODT abstract; exact runtime NR,Yes,NR,communication delay and packet-loss assumptions,DC converters and bus voltage model,NR,hardware microgrid platform,ODT abstract reports accurate current sharing while compensating network delays and packet losses; exact current-sharing error NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C047,S077,huang2024prediction,operational,coordinated microgrid dispatch,prediction-free dispatch,microgrid,Yes,data-driven online optimization controller,coordinated dispatch,energy management system,dispatch interval,data-driven online optimization,safety-cost static optimization without forecasts,operation cost and voltage satisfaction,runtime enforcement,hard runtime enforcement,safety-cost multiobjective dispatch,operational simulation,F0,A3,Yes,Yes,NR,NR,NR,Yes,Yes,NR,operation cost and voltage satisfaction rate,forecast/reference inaccuracy and phi/reference sensitivity,NR,NR,NR,NR,NR,Yes,1.9 versus 37.6 min/day; voltage satisfaction 87.33% to 100%,Two-month operational comparison reported,Yes,Yes,voltage-satisfaction constraints,microgrid DERs,forecast error sensitivity,two-month microgrid dispatch case,1.9 versus 37.6 min/day; voltage satisfaction 87.33% to 100%,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C048,S079,komala2025iot,operational,islanding detection through microgrid hierarchical control,grid-connected to island mode,microgrid,Yes,CMPA-PINN islanding detector,islanding detection,hierarchical control/ICT layer,protection monitoring,PINN hybrid optimization,PINN predicts optimized traffic/control flow in IoT microgrid hierarchy,"voltage, frequency and THD deviation",hybrid,soft penalty,islanding detection and deviation reduction,MATLAB simulation,F1,A2,Yes,Yes,Yes,NR,Yes,NR,NR,NR,"voltage, frequency and THD deviation",grid-connected and island modes,NR,Yes,NR,Yes,NR,NR,NR,ODT abstract mentions IoT traffic-flow optimization; exact latency NR,Yes,NR,IoT communication hierarchy assumptions,microgrid hierarchical control,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C049,S080,kumar2025physics,operational,grid-forming converter overload stability,overload stability,grid-forming converter,Yes,PINN-based controller,converter stability control,primary converter control,real-time control,PINN control,converter stability physics in neural control design,overload stability limits,training loss,soft penalty,physics-informed stability control,simulation,F1,A1,Yes,Yes,Yes,Yes,NR,Yes,NR,NR,converter stability under overload,overload conditions,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,overload condition assumptions,grid-forming converter,NR,device-level,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C050,S082,long2020data,enabling,PV-station equivalent dynamic modeling,PV dynamic response,multiple photovoltaic power stations,Yes,ensemble GRU hybrid equivalent model,dynamic equivalent modeling,dynamic assessment,offline planning,data-driven hybrid dynamic modeling,hybrid equivalent dynamic model with ensemble gated recurrent units,PV station dynamic response,gray-box residual,audited only,hybrid equivalent modeling,simulation/case-study data,F1,A1,No,Yes,NR,NR,NR,NR,NR,NR,dynamic modeling error,NR,NR,Yes,NR,NR,NR,NR,NR,NR,Yes,NR,PV-station equivalent model assumptions,photovoltaic power stations,NR,multiple PV stations,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C051,S086,moradi2023physics,enabling,Hamiltonian learning under output-error noise,noisy physical-system identification,physical dynamical system,No,Hamiltonian neural network with output-error noise model,system identification,model identification,offline planning,Hamiltonian neural network,Hamiltonian structure plus output-error noise model,physical-system trajectory consistency,architecture/structure,audited only,physics-informed noisy system identification,simulation/examples,F0,A2,No,No,No,No,No,NR,NR,NR,RMSE/trajectory error,measurement-noise modeling,No,NR,Yes,NR,NR,NR,NR,IFAC source; power/microgrid application not reported,Yes,NR,Hamiltonian-system assumptions,generic physical system,output-error noise model,generic examples,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C052,S087,ngo2024physics,enabling,power-system state estimation,state estimation across feeder sizes,power distribution feeders,Yes,physics-informed graphical neural network,state estimation,state estimator,online screening,physics-informed graph neural network,graph structure and power-flow physics in estimator,voltage and current state estimates,architecture/structure,audited only,physics-informed state estimation,simulation benchmarks,F0,A3,No,Yes,NR,Yes,NR,NR,NR,NR,MSE/RMSE,load changes 70% to 130%; reduced measurements; multiple feeder sizes,Yes,NR,Yes,NR,NR,NR,MSE around 0.0032 to 0.0039; average RMSE around 0.0139,Large-scale IEEE 8500-bus case noted,Yes,Yes,power-flow/state-estimation assumptions,distribution feeder measurements,NR,IEEE 8500-bus case and multiple feeders,MSE around 0.0032 to 0.0039; average RMSE around 0.0139,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C053,S090,pang2024fast,operational,inverter-based microgrid stability enhancement,fast stability enhancement,inverter-based microgrid,Yes,NGO-LSTM algorithm,stability enhancement,control support,real-time control,LSTM control/optimization,microgrid dynamic response learned by LSTM optimized with NGO,microgrid stability response,hybrid,audited only,data-driven stability enhancement,simulation,F1,A1,Yes,Yes,Yes,NR,Yes,NR,NR,NR,stability enhancement performance,NR,NR,Yes,NR,NR,NR,NR,NR,NR,Yes,NR,inverter-based microgrid dynamic assumptions,inverters,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C054,S093,ping2021deep,operational,power-grid transient stability MPC,post-disturbance transient stability,power grid,Yes,deep Koopman MPC controller,transient stability control,model predictive control,emergency control,deep Koopman MPC,Koopman operator maps nonlinear dynamics to linear lifted system for MPC,generator-bus energy storage injections,architecture/structure,hard runtime enforcement,MPC constrained control in lifted coordinates,IEEE 9-bus and IEEE 39-bus simulation,F1,A2,Yes,NR,Yes,NR,Yes,NR,NR,NR,transient stability enhancement,IEEE 9-bus and 39-bus cases,Yes,Yes,NR,NR,NR,NR,NR,ODT abstract does not report runtime,Yes,NR,energy storage actuator assumptions,synchronous generators and energy storage,NR,IEEE 9-bus and IEEE 39-bus,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C055,S094,r2024machine,operational,grid-connected microgrid energy management and forecasting,grid-connected operation,grid-connected microgrid,Yes,machine-learning forecasting and energy-management model,energy management and forecasting,energy management system,dispatch interval,machine learning,microgrid resource data used for forecast/control,power forecasts and dispatch,not applicable,audited only,data-driven forecast/EMS,case-study evaluation,F0,A1,Yes,NR,NR,NR,NR,NR,NR,NR,forecasting and management performance,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,grid-connected microgrid assumptions,multiple distributed energy sources,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C056,S098,singhal2026physics,operational,AC microgrid anomaly identification,physical and cyber anomaly detection,AC microgrid,Yes,physics-informed ANN anomaly detector,anomaly detection,monitoring/protection,protection monitoring,physics-informed ANN,load-sharing controller physics informs ANN features/model,centralized load-sharing anomalies,training loss,audited only,physics-informed anomaly identification,simulation,F1,A1,No,Yes,Yes,Yes,NR,NR,NR,NR,classification/anomaly-detection performance,physical and cyber anomaly cases,NR,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,centralized load-sharing controller assumptions,AC microgrid load-sharing controller,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C057,S099,stock2024bayesian,enabling,inverter-dominated system identification,system identification under uncertainty,inverter-dominated power system,No,Bayesian physics-informed neural network,system identification,model identification,offline planning,Bayesian PINN,power-system dynamic equations in Bayesian PINN,inverter-dominated dynamics,uncertainty/risk,audited only,Bayesian physics-informed identification,simulation,F1,A2,No,Yes,Yes,NR,NR,NR,NR,NR,system-identification error and posterior uncertainty,uncertainty/noise assumptions,NR,Yes,Yes,NR,NR,NR,NR,NR,Yes,NR,inverter-dominated dynamic model assumptions,inverter-dominated system,Bayesian posterior uncertainty,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C058,S100,sun2025integrated,operational,resilient distribution reconfiguration,topology reconstruction and risk-aware reconfiguration,power distribution system,Yes,integrated data-driven topology reconstruction and risk-aware reconfiguration model,reconfiguration,restoration/reconfiguration planning,operational scheduling,data-driven topology reconstruction,topology reconstruction coupled with risk-aware reconfiguration,topology and reconfiguration feasibility,uncertainty/risk,hard runtime enforcement,risk-aware reconfiguration constraints,simulation,F0,A2,Yes,Yes,NR,Yes,NR,Yes,NR,NR,risk-aware reconfiguration performance,incomplete observability,Yes,NR,Yes,NR,Yes,NR,NR,NR,Yes,NR,incomplete-observability and topology assumptions,distribution switches and resources,risk-aware formulation,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C059,S104,wang2023secure,operational,multi-energy microgrid energy management,secure energy management,multi-energy microgrid,Yes,physical-informed safe reinforcement-learning policy,energy management,energy management system,dispatch interval,physical-informed safe reinforcement learning,physical constraints embedded in safe RL formulation,multi-energy microgrid operating constraints,hybrid,hybrid,physical-informed safe RL,simulation,F0,A2,Yes,NR,NR,NR,NR,Yes,NR,NR,energy-management objective and safety,operating scenarios,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,physical safety constraints,multi-energy microgrid resources,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C060,S107,wu2025resilience,operational,EV coordination in multiple microgrids,restoration/resilience with EV mobility,multiple microgrids,Yes,distributed deep reinforcement-learning EV coordination policy,resilience restoration,resilience scheduling,operational scheduling,distributed deep reinforcement learning,load restoration and fairness metrics in distributed policy,EV movement and restored load,uncertainty/risk,soft penalty,resilience/fairness reward,simulation,F0,A3,Yes,NR,NR,NR,NR,NR,NR,NR,"load restoration, cost and Jain fairness index",maximum EV moving distance and transport constraints,Yes,Yes,NR,Yes,Yes,NR,NR,ODT note reports sensitivity to EV/transport constraints,Yes,Yes,EV movement and transport constraints,electric vehicles and microgrid resources,NR,multiple microgrids,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C061,S109,xu2024resilient,transition-focused,dynamic microgrid formation,resilient microgrid formation,distribution system with microgrids,Yes,deep reinforcement learning with PINN integration,microgrid formation,restoration/reconfiguration planning,operational scheduling,DRL with PINN,physics-informed neural networks integrated into DRL formation policy,microgrid formation feasibility,hybrid,hybrid,physics-informed resilient formation policy,simulation,F0,A2,Yes,Yes,NR,Yes,Yes,Yes,NR,NR,resilience/restoration performance,post-event formation scenarios,Yes,Yes,NR,NR,Yes,NR,NR,NR,Yes,NR,islanding/formation feasibility assumptions,switches and distributed resources,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C062,S110,xun2025single,operational,hydrogen electrolyzer array converter MPC,PV-HESS-PEM microgrid converter operation,PV-HESS-PEM microgrid converter,Yes,DNN-based model predictive controller,converter MPC,converter control,real-time control,deep neural network MPC,converter/microgrid model used by DNN-MPC,single-inductor multiple-output converter limits,runtime enforcement,hard runtime enforcement,MPC device constraints,simulation,F2,A1,Yes,Yes,No,Yes,NR,NR,NR,NR,converter control performance,NR,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,converter and electrolyzer operating assumptions,SIMO converter for electrolyzer arrays,NR,device-level,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C063,S111,zhang2024physics,operational,nominal distributed voltage control with PV inverters,active-distribution voltage regulation,active distribution network,Yes,physics-informed multi-agent DRL controller,distributed voltage control,real-time voltage control,real-time control,physics-informed multi-agent deep RL,grid topology and voltage physics in multi-agent DRL,PV inverter voltage control and curtailment,hybrid,hybrid,physics-informed multiagent control,IEEE 33-bus and 141-bus simulation,F0,A3,Yes,Yes,No,NR,NR,Yes,Yes,NR,"reward, voltage deviation, curtailment and testing time","10 random seeds, communication failures, 33-bus and 141-bus systems",Yes,NR,NR,NR,NR,Yes,shorter testing time than MADDPG and DDPG in ODT note,Communication-failure modes evaluated by reward and survival steps,Yes,Yes,voltage-control and PV-inverter assumptions,PV inverters,random seeds and uncertainty realizations,IEEE 33-bus and IEEE 141-bus,"ODT note reports higher average reward, lower voltage deviation, lower curtailment, and shorter testing time versus MADDPG and DDPG",Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C064,S111,zhang2024physics,operational,distributed voltage control under communication failure,active-distribution voltage regulation,active distribution network,Yes,physics-informed multi-agent DRL controller,communication-failure robustness,real-time voltage control,real-time control,physics-informed multi-agent deep RL,grid topology and voltage physics in multi-agent DRL,PV inverter voltage control and curtailment,hybrid,hybrid,physics-informed multiagent control,IEEE 33-bus and 141-bus simulation,F0,A3,Yes,Yes,No,NR,NR,Yes,Yes,NR,"reward, voltage deviation, curtailment and testing time","10 random seeds, communication failures, 33-bus and 141-bus systems",Yes,NR,NR,Yes,NR,Yes,shorter testing time than MADDPG and DDPG in ODT note,Communication-failure modes evaluated by reward and survival steps,Yes,Yes,voltage-control and PV-inverter assumptions,PV inverters,random seeds and uncertainty realizations,IEEE 33-bus and IEEE 141-bus,ODT note reports Table 3 communication-failure tests using episodic reward and survival steps,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C065,S113,zheng2024distributed,operational,distributed economic control of microgrids,economic control,microgrid,Yes,reinforcement pinning control strategy,economic control,distributed control,operational control,reinforcement pinning control,distributed economic-control objective in reinforcement pinning framework,microgrid economic dispatch/control,hybrid,audited only,distributed economic control,simulation,F0,A1,Yes,NR,NR,NR,NR,NR,NR,NR,economic-control performance,NR,NR,NR,NR,Yes,NR,NR,NR,NR,Yes,NR,distributed control assumptions,microgrid DERs,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C066,S115,zhu2025operation,operational,DC microgrid operation optimization,stability-economy operation,DC microgrid,Yes,model-data co-driven operation framework,operation optimization,energy management system,dispatch interval,model-data co-driven optimization,model-driven stability constraints with data-driven solution component,DC microgrid stability and economy,hybrid,hard runtime enforcement,stability-feasible economic optimization,simulation,F0,A3,Yes,Yes,No,Yes,NR,Yes,Yes,NR,solution time and stability feasibility,load factor sensitivity 0.8 to 1.0,NR,NR,NR,NR,NR,Yes,solution within seconds versus about one minute; surrogate DE violates stability at load factor 0.95,load-factor sensitivity reports stability feasibility,Yes,Yes,DC microgrid stability constraint assumptions,DC microgrid converters/resources,load factor sensitivity,NR,solution within seconds versus about one minute; surrogate DE violates stability at load factor 0.95,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
